# MEAN_SAMPLE_SIZE = 42516
# TOTAL_GENES = 17182
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17182   -0.0077939    -0.015532     0.010975       0.7612 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17182     -0.02217    -0.042994     0.011344      0.97466 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17182   -0.0023401   -0.0045119     0.010256      0.59024 Adrenal_Gland
Artery_Aorta                        COVAR   17182    -0.013856    -0.028238     0.010351      0.90964 Artery_Aorta
Artery_Coronary                     COVAR   17182    -0.019365    -0.038488     0.012015      0.94649 Artery_Coronary
Artery_Tibial                       COVAR   17182   -0.0054569    -0.011222     0.010165      0.70431 Artery_Tibial
Bladder                             COVAR   17182    -0.035549    -0.069154     0.013326      0.99618 Bladder
Brain_Amygdala                      COVAR   17182     0.014342     0.024403    0.0079565     0.035743 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17182     0.019094     0.033684     0.007339    0.0046425 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17182     0.021036     0.036287    0.0079979    0.0042717 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17182     0.022817     0.045747    0.0061837   0.00011255 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17182     0.022423     0.044468    0.0063813   0.00022139 Brain_Cerebellum
Brain_Cortex                        COVAR   17182     0.019692      0.03586    0.0072665    0.0033684 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17182     0.019921     0.036651     0.007003    0.0022264 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17182     0.015189     0.025687    0.0080917     0.030261 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17182     0.017393     0.029894    0.0082164     0.017144 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17182     0.020973     0.036341    0.0077144    0.0032811 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17182      0.01937     0.032925    0.0080558    0.0081039 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17182    0.0088749     0.015929    0.0087815       0.1561 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17182     0.010127     0.017412    0.0087095      0.12247 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17182    -0.023106     -0.04435     0.012876      0.96363 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17182     0.005471     0.011713    0.0066778      0.20632 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   17182    0.0017231    0.0037593    0.0049862      0.36483 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   17182    0.0084701     0.016572     0.012289      0.24534 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   17182     0.012646     0.024985     0.011731      0.14051 Cervix_Endocervix
Colon_Sigmoid                       COVAR   17182    -0.020103    -0.039265     0.012774      0.94221 Colon_Sigmoid
Colon_Transverse                    COVAR   17182    -0.030068    -0.055182     0.011737      0.99479 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   17182    -0.015976    -0.031402     0.013154      0.88772 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   17182    -0.023327    -0.045028    0.0077376      0.99871 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   17182    -0.016493    -0.032485     0.012756      0.90198 Esophagus_Muscularis
Fallopian_Tube                      COVAR   17182    -0.018148    -0.035132     0.012051      0.93395 Fallopian_Tube
Heart_Atrial_Appendage              COVAR   17182    -0.013951    -0.025023    0.0098583      0.92147 Heart_Atrial_Appendage
Heart_Left_Ventricle                COVAR   17182    -0.019926    -0.033243    0.0093791      0.98318 Heart_Left_Ventricle
Kidney_Cortex                       COVAR   17182   -0.0073578    -0.012911    0.0091784      0.78861 Kidney_Cortex
Kidney_Medulla                      COVAR   17182   -0.0020763   -0.0038331     0.009469      0.58678 Kidney_Medulla
Liver                               COVAR   17182   -0.0048714    -0.008769    0.0065001       0.7732 Liver
Lung                                COVAR   17182    -0.012775    -0.024647    0.0093179       0.9148 Lung
Minor_Salivary_Gland                COVAR   17182    -0.030955    -0.057498    0.0097873      0.99922 Minor_Salivary_Gland
Muscle_Skeletal                     COVAR   17182   -0.0080279    -0.015183    0.0070888      0.87127 Muscle_Skeletal
Nerve_Tibial                        COVAR   17182    0.0011877    0.0023859     0.010286      0.45404 Nerve_Tibial
Ovary                               COVAR   17182     0.010711     0.021684    0.0098678      0.13887 Ovary
Pancreas                            COVAR   17182    -0.022061    -0.036874    0.0085808      0.99493 Pancreas
Pituitary                           COVAR   17182     0.013857     0.025781    0.0091859     0.065723 Pituitary
Prostate                            COVAR   17182    -0.013766    -0.026063     0.012201      0.87038 Prostate
Skin_Not_Sun_Exposed_Suprapu...     COVAR   17182    -0.017645    -0.033971    0.0078129      0.98804 Skin_Not_Sun_Exposed_Suprapubic
Skin_Sun_Exposed_Lower_leg          COVAR   17182     -0.01681    -0.032559    0.0078237      0.98416 Skin_Sun_Exposed_Lower_leg
Small_Intestine_Terminal_Ile...     COVAR   17182     -0.02192    -0.040228    0.0097396      0.98779 Small_Intestine_Terminal_Ileum
Spleen                              COVAR   17182   -0.0018803   -0.0037216    0.0074218          0.6 Spleen
Stomach                             COVAR   17182    -0.032688    -0.059293      0.01223      0.99623 Stomach
Testis                              COVAR   17182    0.0042905    0.0073906    0.0057094      0.22619 Testis
Thyroid                             COVAR   17182    0.0005764    0.0011395    0.0098576      0.47669 Thyroid
Uterus                              COVAR   17182    0.0034311    0.0069794     0.011071      0.37831 Uterus
Vagina                              COVAR   17182    -0.013355    -0.025487     0.011152      0.88445 Vagina
Whole_Blood                         COVAR   17182   -0.0089948    -0.016256    0.0056872      0.94312 Whole_Blood
